파일,충방전,판정,시점,label,예측,Hotelling_T2,SPE
Test03_OK_chg,충전,OK,0,0,0,8.8023,0.052
Test03_OK_chg,충전,OK,1,0,0,8.3683,0.0297
Test03_OK_chg,충전,OK,2,0,0,8.2903,0.0332
Test03_OK_chg,충전,OK,3,0,0,14.0476,8.6942
Test03_OK_chg,충전,OK,4,0,0,8.9743,0.0597
Test03_OK_chg,충전,OK,5,0,0,8.4828,0.0373
Test03_OK_chg,충전,OK,6,0,0,8.4278,0.0369
Test03_OK_chg,충전,OK,7,0,0,8.4669,0.0319
Test03_OK_chg,충전,OK,8,0,0,8.3682,0.0373
Test03_OK_chg,충전,OK,9,0,0,8.9115,0.0518
Test03_OK_chg,충전,OK,10,0,0,8.9023,0.0529
Test03_OK_chg,충전,OK,11,0,0,8.851,0.0563
Test03_OK_chg,충전,OK,12,0,0,8.4179,0.0344
Test03_OK_chg,충전,OK,13,0,0,8.3525,0.0304
Test03_OK_chg,충전,OK,14,0,0,8.8413,0.0495
Test03_OK_chg,충전,OK,15,0,0,8.7804,0.0546
Test03_OK_chg,충전,OK,16,0,0,8.8034,0.052
Test03_OK_chg,충전,OK,17,0,0,8.7822,0.0546
Test03_OK_chg,충전,OK,18,0,0,8.4087,0.0288
Test03_OK_chg,충전,OK,19,0,0,8.3536,0.0306
Test03_OK_chg,충전,OK,20,0,0,8.3152,0.0316
Test03_OK_chg,충전,OK,21,0,0,8.3013,0.0331
Test03_OK_chg,충전,OK,22,0,0,8.7798,0.0547
Test03_OK_chg,충전,OK,23,0,0,8.7705,0.0559
Test03_OK_chg,충전,OK,24,0,0,8.7657,0.0755
Test03_OK_chg,충전,OK,25,0,0,8.8376,0.0495
Test03_OK_chg,충전,OK,26,0,0,8.2951,0.0331
Test03_OK_chg,충전,OK,27,0,0,8.7808,0.0548
Test03_OK_chg,충전,OK,28,0,0,14.7789,8.3556
Test03_OK_chg,충전,OK,29,0,0,8.8906,0.0533
Test03_OK_chg,충전,OK,30,0,0,8.9075,0.0512
Test03_OK_chg,충전,OK,31,0,0,8.9033,0.0536
Test03_OK_chg,충전,OK,32,0,0,8.9081,0.0534
Test03_OK_chg,충전,OK,33,0,0,19.9686,0.0388
Test03_OK_chg,충전,OK,34,0,0,20.9228,0.0582
Test03_OK_chg,충전,OK,35,0,0,19.9524,0.0395
Test03_OK_chg,충전,OK,36,0,0,20.5576,0.0334
Test03_OK_chg,충전,OK,37,0,0,19.9849,0.038
Test03_OK_chg,충전,OK,38,0,0,21.0257,0.042
Test03_OK_chg,충전,OK,39,0,0,19.8446,0.0356
Test03_OK_chg,충전,OK,40,0,0,20.9585,0.0426
Test03_OK_chg,충전,OK,41,0,0,8.7665,0.0558
Test03_OK_chg,충전,OK,42,0,0,8.8153,0.051
Test03_OK_chg,충전,OK,43,0,0,19.9097,0.0358
Test03_OK_chg,충전,OK,44,0,0,26.0961,7.416
Test03_OK_chg,충전,OK,45,0,0,8.8882,0.0556
Test03_OK_chg,충전,OK,46,0,0,8.9013,0.0547
Test03_OK_chg,충전,OK,47,0,0,8.8878,0.0555
Test03_OK_chg,충전,OK,48,0,0,19.9181,0.0395
Test03_OK_chg,충전,OK,49,0,0,8.3939,0.034
Test03_OK_chg,충전,OK,50,0,0,8.3913,0.0347
Test03_OK_chg,충전,OK,51,0,0,8.397,0.0354
Test03_OK_chg,충전,OK,52,0,0,8.4343,0.0339
Test03_OK_chg,충전,OK,53,0,0,8.405,0.0341
Test03_OK_chg,충전,OK,54,0,0,8.3312,0.0314
Test03_OK_chg,충전,OK,55,0,0,20.9958,0.0433
Test03_OK_chg,충전,OK,56,0,0,431.2413,94.1012
Test03_OK_chg,충전,OK,57,0,0,2144.7167,3.5463
Test03_OK_chg,충전,OK,58,0,0,54.3093,3.5724
Test03_OK_chg,충전,OK,59,0,0,38.4572,0.113
Test03_OK_chg,충전,OK,60,0,0,6.1602,0.2713
Test03_OK_chg,충전,OK,61,0,0,9.2897,0.1144
Test03_OK_chg,충전,OK,62,0,0,6.9015,0.1412
Test03_OK_chg,충전,OK,63,0,0,17.5722,0.2923
Test03_OK_chg,충전,OK,64,0,0,5.4615,0.1073
Test03_OK_chg,충전,OK,65,0,0,20.3155,0.2036
Test03_OK_chg,충전,OK,66,0,0,21.1803,0.2776
Test03_OK_chg,충전,OK,67,0,0,18.148,0.768
Test03_OK_chg,충전,OK,68,0,0,4.9087,0.1315
Test03_OK_chg,충전,OK,69,0,0,6.7006,1.1971
Test03_OK_chg,충전,OK,70,0,0,28.0224,6.3987
Test03_OK_chg,충전,OK,71,0,0,6.8749,0.2704
Test03_OK_chg,충전,OK,72,0,0,5.4942,0.083
Test03_OK_chg,충전,OK,73,0,0,8.3768,0.047
Test03_OK_chg,충전,OK,74,0,0,11.1719,0.0355
Test03_OK_chg,충전,OK,75,0,0,13.9386,0.0626
Test03_OK_chg,충전,OK,76,0,0,5.5177,0.4537
Test03_OK_chg,충전,OK,77,0,0,9.3702,0.1006
Test03_OK_chg,충전,OK,78,0,0,16.8606,0.0276
Test03_OK_chg,충전,OK,79,0,0,22.6566,0.1416
Test03_OK_chg,충전,OK,80,0,0,19.1949,1.5362
Test03_OK_chg,충전,OK,81,0,0,25.4843,0.2415
Test03_OK_chg,충전,OK,82,0,0,10.3306,0.0725
Test03_OK_chg,충전,OK,83,0,0,19.0385,3.1453
Test03_OK_chg,충전,OK,84,0,0,17.9531,0.0332
Test03_OK_chg,충전,OK,85,0,0,17.57,0.4625
Test03_OK_chg,충전,OK,86,0,0,18.1648,0.3321
Test03_OK_chg,충전,OK,87,0,0,24.2007,1.4695
Test03_OK_chg,충전,OK,88,0,0,23.0491,0.0873
Test03_OK_chg,충전,OK,89,0,0,24.831,0.0446
Test03_OK_chg,충전,OK,90,0,0,15.976,3.6364
Test03_OK_chg,충전,OK,91,0,0,9.236,0.0887
Test03_OK_chg,충전,OK,92,0,0,12.6123,0.2968
Test03_OK_chg,충전,OK,93,0,0,18.1007,0.133
Test03_OK_chg,충전,OK,94,0,0,33.9416,0.1614
Test03_OK_chg,충전,OK,95,0,0,5.811,0.031
Test03_OK_chg,충전,OK,96,0,0,21.1311,0.1472
Test03_OK_chg,충전,OK,97,0,0,20.4684,0.0508
Test03_OK_chg,충전,OK,98,0,0,21.566,0.0893
Test03_OK_chg,충전,OK,99,0,0,32.8025,0.0838
Test03_OK_chg,충전,OK,100,0,0,15.4669,0.0631
Test03_OK_chg,충전,OK,101,0,0,18.8541,0.0758
Test03_OK_chg,충전,OK,102,0,0,25.0691,1.2649
Test03_OK_chg,충전,OK,103,0,0,7.8013,0.157
Test03_OK_chg,충전,OK,104,0,0,9.5359,0.1197
Test03_OK_chg,충전,OK,105,0,0,5.3193,0.0879
Test03_OK_chg,충전,OK,106,0,0,9.895,0.4429
Test03_OK_chg,충전,OK,107,0,0,30.0971,0.0322
Test03_OK_chg,충전,OK,108,0,0,32.6803,0.038
Test03_OK_chg,충전,OK,109,0,0,10.9873,0.2322
Test03_OK_chg,충전,OK,110,0,0,7.4189,0.1097
Test03_OK_chg,충전,OK,111,0,0,16.0255,1.5712
Test03_OK_chg,충전,OK,112,0,0,26.8665,0.1091
Test03_OK_chg,충전,OK,113,0,0,7.9773,0.0251
Test03_OK_chg,충전,OK,114,0,0,16.6524,0.3597
Test03_OK_chg,충전,OK,115,0,0,24.5548,0.6209
Test03_OK_chg,충전,OK,116,0,0,14.1513,0.6436
Test03_OK_chg,충전,OK,117,0,0,5.828,0.2574
Test03_OK_chg,충전,OK,118,0,0,16.647,0.0513
Test03_OK_chg,충전,OK,119,0,0,36.5967,0.0107
Test03_OK_chg,충전,OK,120,0,0,8.9427,0.9249
Test03_OK_chg,충전,OK,121,0,0,5.1968,0.8834
Test03_OK_chg,충전,OK,122,0,0,9.1196,0.0709
Test03_OK_chg,충전,OK,123,0,0,35.9871,1.1311
Test03_OK_chg,충전,OK,124,0,0,28.0684,0.1699
Test03_OK_chg,충전,OK,125,0,0,6.5516,0.3907
Test03_OK_chg,충전,OK,126,0,0,8.6081,0.4517
Test03_OK_chg,충전,OK,127,0,0,17.1673,0.1867
Test03_OK_chg,충전,OK,128,0,0,8.5896,0.5005
Test03_OK_chg,충전,OK,129,0,0,10.0537,1.0066
Test03_OK_chg,충전,OK,130,0,0,11.8771,0.9609
Test03_OK_chg,충전,OK,131,0,0,14.3095,0.0759
Test03_OK_chg,충전,OK,132,0,0,33.2629,3.7452
Test03_OK_chg,충전,OK,133,0,0,27.4613,2.5336
