파일,충방전,판정,시점,label,규칙_예측,모듈온도_편차_초과,모듈온도_편차_값,셀전압_최대z_초과,셀전압_최대z_값
Test03_OK_chg,충전,OK,0,0,0,0,0.8,0,2.7676
Test03_OK_chg,충전,OK,1,0,0,0,0.9,0,2.763
Test03_OK_chg,충전,OK,2,0,0,0,0.9,0,2.7612
Test03_OK_chg,충전,OK,3,0,0,0,0.9,0,1.291
Test03_OK_chg,충전,OK,4,0,0,0,0.8,0,2.7676
Test03_OK_chg,충전,OK,5,0,0,0,0.9,0,2.7612
Test03_OK_chg,충전,OK,6,0,0,0,0.9,0,2.7651
Test03_OK_chg,충전,OK,7,0,0,0,0.9,0,2.7814
Test03_OK_chg,충전,OK,8,0,0,0,0.9,0,2.7599
Test03_OK_chg,충전,OK,9,0,0,0,0.8,0,2.7737
Test03_OK_chg,충전,OK,10,0,0,0,0.8,0,2.7651
Test03_OK_chg,충전,OK,11,0,0,0,0.8,0,2.7814
Test03_OK_chg,충전,OK,12,0,0,0,0.9,0,2.759
Test03_OK_chg,충전,OK,13,0,0,0,0.9,0,2.7651
Test03_OK_chg,충전,OK,14,0,0,0,0.8,0,2.7599
Test03_OK_chg,충전,OK,15,0,0,0,0.8,0,2.7651
Test03_OK_chg,충전,OK,16,0,0,0,0.8,0,2.7676
Test03_OK_chg,충전,OK,17,0,0,0,0.8,0,2.759
Test03_OK_chg,충전,OK,18,0,0,0,0.9,0,2.7612
Test03_OK_chg,충전,OK,19,0,0,0,0.9,0,2.7599
Test03_OK_chg,충전,OK,20,0,0,0,0.9,0,2.7596
Test03_OK_chg,충전,OK,21,0,0,0,0.9,0,2.763
Test03_OK_chg,충전,OK,22,0,0,0,0.8,0,2.7612
Test03_OK_chg,충전,OK,23,0,0,0,0.8,0,2.7599
Test03_OK_chg,충전,OK,24,0,0,0,0.8,0,2.7082
Test03_OK_chg,충전,OK,25,0,0,0,0.8,0,2.7612
Test03_OK_chg,충전,OK,26,0,0,0,0.9,0,2.7612
Test03_OK_chg,충전,OK,27,0,0,0,0.8,0,2.7612
Test03_OK_chg,충전,OK,28,0,0,0,0.8,0,1.3068
Test03_OK_chg,충전,OK,29,0,0,0,0.8,0,2.7705
Test03_OK_chg,충전,OK,30,0,0,0,0.8,0,2.7814
Test03_OK_chg,충전,OK,31,0,0,0,0.8,0,2.7599
Test03_OK_chg,충전,OK,32,0,0,0,0.8,0,2.763
Test03_OK_chg,충전,OK,33,0,0,0,0.9,0,2.7599
Test03_OK_chg,충전,OK,34,0,0,0,0.8,0,2.7612
Test03_OK_chg,충전,OK,35,0,0,0,0.9,0,2.7599
Test03_OK_chg,충전,OK,36,0,0,0,0.9,0,2.7585
Test03_OK_chg,충전,OK,37,0,0,0,0.9,0,2.7588
Test03_OK_chg,충전,OK,38,0,0,0,0.8,0,2.759
Test03_OK_chg,충전,OK,39,0,0,0,0.9,0,2.7705
Test03_OK_chg,충전,OK,40,0,0,0,0.8,0,2.763
Test03_OK_chg,충전,OK,41,0,0,0,0.8,0,2.763
Test03_OK_chg,충전,OK,42,0,0,0,0.8,0,2.7705
Test03_OK_chg,충전,OK,43,0,0,0,0.9,0,2.7612
Test03_OK_chg,충전,OK,44,0,0,0,0.8,0,1.3904
Test03_OK_chg,충전,OK,45,0,0,0,0.8,0,2.7599
Test03_OK_chg,충전,OK,46,0,0,0,0.8,0,2.759
Test03_OK_chg,충전,OK,47,0,0,0,0.8,0,2.7612
Test03_OK_chg,충전,OK,48,0,0,0,0.9,0,2.7651
Test03_OK_chg,충전,OK,49,0,0,0,0.9,0,2.7705
Test03_OK_chg,충전,OK,50,0,0,0,0.9,0,2.7651
Test03_OK_chg,충전,OK,51,0,0,0,0.9,0,2.7599
Test03_OK_chg,충전,OK,52,0,0,0,0.9,0,2.7612
Test03_OK_chg,충전,OK,53,0,0,0,0.9,0,2.7676
Test03_OK_chg,충전,OK,54,0,0,0,0.9,0,2.759
Test03_OK_chg,충전,OK,55,0,0,0,0.8,0,2.763
Test03_OK_chg,충전,OK,56,0,1,0,0.9,1,3.9719
Test03_OK_chg,충전,OK,57,0,0,0,0.9,0,2.1273
Test03_OK_chg,충전,OK,58,0,0,0,0.9,0,2.2401
Test03_OK_chg,충전,OK,59,0,0,0,0.9,0,2.9091
Test03_OK_chg,충전,OK,60,0,0,0,0.9,0,2.4833
Test03_OK_chg,충전,OK,61,0,0,0,0.9,0,2.5298
Test03_OK_chg,충전,OK,62,0,0,0,0.9,0,2.8208
Test03_OK_chg,충전,OK,63,0,0,0,0.9,0,2.5789
Test03_OK_chg,충전,OK,64,0,0,0,0.9,0,2.9404
Test03_OK_chg,충전,OK,65,0,0,0,0.9,0,2.2549
Test03_OK_chg,충전,OK,66,0,1,0,0.9,1,3.9265
Test03_OK_chg,충전,OK,67,0,0,0,0.9,0,2.5198
Test03_OK_chg,충전,OK,68,0,0,0,0.9,0,2.6081
Test03_OK_chg,충전,OK,69,0,0,0,0.9,0,2.2229
Test03_OK_chg,충전,OK,70,0,1,0,0.9,1,4.371
Test03_OK_chg,충전,OK,71,0,0,0,0.8,0,2.3982
Test03_OK_chg,충전,OK,72,0,0,0,0.8,0,2.5896
Test03_OK_chg,충전,OK,73,0,0,0,0.8,0,2.6963
Test03_OK_chg,충전,OK,74,0,0,0,0.8,0,2.5268
Test03_OK_chg,충전,OK,75,0,0,0,0.9,0,2.6866
Test03_OK_chg,충전,OK,76,0,0,0,0.8,0,2.4464
Test03_OK_chg,충전,OK,77,0,0,0,0.8,0,2.77
Test03_OK_chg,충전,OK,78,0,0,0,0.8,0,2.5853
Test03_OK_chg,충전,OK,79,0,0,0,0.8,0,2.8469
Test03_OK_chg,충전,OK,80,0,0,0,0.8,0,2.372
Test03_OK_chg,충전,OK,81,0,0,0,0.9,0,2.8439
Test03_OK_chg,충전,OK,82,0,0,0,0.9,0,3.2218
Test03_OK_chg,충전,OK,83,0,0,0,0.9,0,3.2397
Test03_OK_chg,충전,OK,84,0,0,0,0.9,0,3.3572
Test03_OK_chg,충전,OK,85,0,0,0,0.9,0,3.5964
Test03_OK_chg,충전,OK,86,0,0,0,0.8,0,3.4879
Test03_OK_chg,충전,OK,87,0,1,0,0.8,1,3.8921
Test03_OK_chg,충전,OK,88,0,0,0,0.8,0,2.9163
Test03_OK_chg,충전,OK,89,0,0,0,0.8,0,3.0019
Test03_OK_chg,충전,OK,90,0,1,0,0.8,1,3.9793
Test03_OK_chg,충전,OK,91,0,0,0,0.8,0,2.7434
Test03_OK_chg,충전,OK,92,0,0,0,0.8,0,2.8254
Test03_OK_chg,충전,OK,93,0,0,0,0.8,0,3.8374
Test03_OK_chg,충전,OK,94,0,0,0,0.9,0,2.7992
Test03_OK_chg,충전,OK,95,0,0,0,0.9,0,2.7377
Test03_OK_chg,충전,OK,96,0,0,0,0.9,0,2.6501
Test03_OK_chg,충전,OK,97,0,0,0,0.8,0,2.6676
Test03_OK_chg,충전,OK,98,0,0,0,0.8,0,2.9422
Test03_OK_chg,충전,OK,99,0,0,0,0.8,0,2.5424
Test03_OK_chg,충전,OK,100,0,0,0,0.8,0,2.6945
Test03_OK_chg,충전,OK,101,0,0,0,0.8,0,2.4234
Test03_OK_chg,충전,OK,102,0,0,0,0.9,0,3.5668
Test03_OK_chg,충전,OK,103,0,0,0,0.9,0,3.3864
Test03_OK_chg,충전,OK,104,0,0,0,0.9,0,3.0755
Test03_OK_chg,충전,OK,105,0,0,0,0.9,0,2.8815
Test03_OK_chg,충전,OK,106,0,0,0,0.9,0,2.9667
Test03_OK_chg,충전,OK,107,0,0,0,0.9,0,3.4073
Test03_OK_chg,충전,OK,108,0,0,0,0.9,0,2.6273
Test03_OK_chg,충전,OK,109,0,0,0,0.9,0,2.8972
Test03_OK_chg,충전,OK,110,0,0,0,0.9,0,3.0715
