파일,충방전,판정,시점,label,예측,재구성오차
Test03_OK_chg,충전,OK,0,0,0,0.072918
Test03_OK_chg,충전,OK,1,0,0,0.044912
Test03_OK_chg,충전,OK,2,0,0,0.040946
Test03_OK_chg,충전,OK,3,0,0,2.028937
Test03_OK_chg,충전,OK,4,0,0,0.044221
Test03_OK_chg,충전,OK,5,0,0,0.040752
Test03_OK_chg,충전,OK,6,0,0,0.03932
Test03_OK_chg,충전,OK,7,0,0,0.04027
Test03_OK_chg,충전,OK,8,0,0,0.032429
Test03_OK_chg,충전,OK,9,0,0,0.033147
Test03_OK_chg,충전,OK,10,0,0,0.028724
Test03_OK_chg,충전,OK,11,0,0,0.032907
Test03_OK_chg,충전,OK,12,0,0,0.029582
Test03_OK_chg,충전,OK,13,0,0,0.034565
Test03_OK_chg,충전,OK,14,0,0,0.028028
Test03_OK_chg,충전,OK,15,0,0,0.030302
Test03_OK_chg,충전,OK,16,0,0,0.030217
Test03_OK_chg,충전,OK,17,0,0,0.027572
Test03_OK_chg,충전,OK,18,0,0,0.034033
Test03_OK_chg,충전,OK,19,0,0,0.033274
Test03_OK_chg,충전,OK,20,0,0,0.032707
Test03_OK_chg,충전,OK,21,0,0,0.036423
Test03_OK_chg,충전,OK,22,0,0,0.029604
Test03_OK_chg,충전,OK,23,0,0,0.029533
Test03_OK_chg,충전,OK,24,0,0,0.023469
Test03_OK_chg,충전,OK,25,0,0,0.029598
Test03_OK_chg,충전,OK,26,0,0,0.035262
Test03_OK_chg,충전,OK,27,0,0,0.031061
Test03_OK_chg,충전,OK,28,0,0,1.990291
Test03_OK_chg,충전,OK,29,0,0,0.033809
Test03_OK_chg,충전,OK,30,0,0,0.039728
Test03_OK_chg,충전,OK,31,0,0,0.035392
Test03_OK_chg,충전,OK,32,0,0,0.044299
Test03_OK_chg,충전,OK,33,0,0,1.278947
Test03_OK_chg,충전,OK,34,0,0,1.363367
Test03_OK_chg,충전,OK,35,0,0,1.302915
Test03_OK_chg,충전,OK,36,0,0,1.391803
Test03_OK_chg,충전,OK,37,0,0,1.336445
Test03_OK_chg,충전,OK,38,0,0,1.437735
Test03_OK_chg,충전,OK,39,0,0,1.392574
Test03_OK_chg,충전,OK,40,0,0,1.478987
Test03_OK_chg,충전,OK,41,0,0,0.204363
Test03_OK_chg,충전,OK,42,0,0,0.233753
Test03_OK_chg,충전,OK,43,0,0,1.478711
Test03_OK_chg,충전,OK,44,0,0,3.460968
Test03_OK_chg,충전,OK,45,0,0,0.292718
Test03_OK_chg,충전,OK,46,0,0,0.315467
Test03_OK_chg,충전,OK,47,0,0,0.343311
Test03_OK_chg,충전,OK,48,0,0,1.59512
