파일,충방전,판정,시점,label,예측,이상확률
Test03_OK_chg,충전,OK,0,0,0,0.0393
Test03_OK_chg,충전,OK,1,0,0,0.0603
Test03_OK_chg,충전,OK,2,0,0,0.0557
Test03_OK_chg,충전,OK,3,0,0,0.0671
Test03_OK_chg,충전,OK,4,0,0,0.0408
Test03_OK_chg,충전,OK,5,0,0,0.0604
Test03_OK_chg,충전,OK,6,0,0,0.0572
Test03_OK_chg,충전,OK,7,0,0,0.0617
Test03_OK_chg,충전,OK,8,0,0,0.0665
Test03_OK_chg,충전,OK,9,0,0,0.0409
Test03_OK_chg,충전,OK,10,0,0,0.0409
Test03_OK_chg,충전,OK,11,0,0,0.0408
Test03_OK_chg,충전,OK,12,0,0,0.0697
Test03_OK_chg,충전,OK,13,0,0,0.059
Test03_OK_chg,충전,OK,14,0,0,0.0395
Test03_OK_chg,충전,OK,15,0,0,0.0393
Test03_OK_chg,충전,OK,16,0,0,0.0393
Test03_OK_chg,충전,OK,17,0,0,0.0393
Test03_OK_chg,충전,OK,18,0,0,0.0603
Test03_OK_chg,충전,OK,19,0,0,0.059
Test03_OK_chg,충전,OK,20,0,0,0.0557
Test03_OK_chg,충전,OK,21,0,0,0.0557
Test03_OK_chg,충전,OK,22,0,0,0.0393
Test03_OK_chg,충전,OK,23,0,0,0.0393
Test03_OK_chg,충전,OK,24,0,0,0.0331
Test03_OK_chg,충전,OK,25,0,0,0.0395
Test03_OK_chg,충전,OK,26,0,0,0.0557
Test03_OK_chg,충전,OK,27,0,0,0.0393
Test03_OK_chg,충전,OK,28,0,0,0.0475
Test03_OK_chg,충전,OK,29,0,0,0.0409
Test03_OK_chg,충전,OK,30,0,0,0.0409
Test03_OK_chg,충전,OK,31,0,0,0.0502
Test03_OK_chg,충전,OK,32,0,0,0.0409
Test03_OK_chg,충전,OK,33,0,0,0.0572
Test03_OK_chg,충전,OK,34,0,0,0.0373
Test03_OK_chg,충전,OK,35,0,0,0.0572
Test03_OK_chg,충전,OK,36,0,0,0.0572
Test03_OK_chg,충전,OK,37,0,0,0.0572
Test03_OK_chg,충전,OK,38,0,0,0.0406
Test03_OK_chg,충전,OK,39,0,0,0.0557
Test03_OK_chg,충전,OK,40,0,0,0.0406
Test03_OK_chg,충전,OK,41,0,0,0.0393
Test03_OK_chg,충전,OK,42,0,0,0.0395
Test03_OK_chg,충전,OK,43,0,0,0.0557
Test03_OK_chg,충전,OK,44,0,0,0.0493
Test03_OK_chg,충전,OK,45,0,0,0.0409
Test03_OK_chg,충전,OK,46,0,0,0.0409
Test03_OK_chg,충전,OK,47,0,0,0.0409
Test03_OK_chg,충전,OK,48,0,0,0.0572
Test03_OK_chg,충전,OK,49,0,0,0.0572
Test03_OK_chg,충전,OK,50,0,0,0.0572
Test03_OK_chg,충전,OK,51,0,0,0.0572
Test03_OK_chg,충전,OK,52,0,0,0.0605
Test03_OK_chg,충전,OK,53,0,0,0.0572
Test03_OK_chg,충전,OK,54,0,0,0.0557
Test03_OK_chg,충전,OK,55,0,0,0.0406
Test03_OK_chg,충전,OK,56,0,1,0.606
Test03_OK_chg,충전,OK,57,0,0,0.2587
Test03_OK_chg,충전,OK,58,0,0,0.2604
Test03_OK_chg,충전,OK,59,0,0,0.0811
Test03_OK_chg,충전,OK,60,0,0,0.0663
Test03_OK_chg,충전,OK,61,0,0,0.0564
Test03_OK_chg,충전,OK,62,0,0,0.0605
Test03_OK_chg,충전,OK,63,0,0,0.1098
Test03_OK_chg,충전,OK,64,0,0,0.0656
Test03_OK_chg,충전,OK,65,0,0,0.0726
Test03_OK_chg,충전,OK,66,0,0,0.1082
Test03_OK_chg,충전,OK,67,0,0,0.1557
Test03_OK_chg,충전,OK,68,0,0,0.0547
Test03_OK_chg,충전,OK,69,0,0,0.1643
Test03_OK_chg,충전,OK,70,0,0,0.1505
Test03_OK_chg,충전,OK,71,0,0,0.0156
Test03_OK_chg,충전,OK,72,0,0,0.0445
Test03_OK_chg,충전,OK,73,0,0,0.0322
Test03_OK_chg,충전,OK,74,0,0,0.0203
Test03_OK_chg,충전,OK,75,0,0,0.0531
Test03_OK_chg,충전,OK,76,0,0,0.031
Test03_OK_chg,충전,OK,77,0,0,0.027
Test03_OK_chg,충전,OK,78,0,0,0.0369
Test03_OK_chg,충전,OK,79,0,0,0.163
Test03_OK_chg,충전,OK,80,0,0,0.1626
Test03_OK_chg,충전,OK,81,0,0,0.0581
Test03_OK_chg,충전,OK,82,0,0,0.1986
Test03_OK_chg,충전,OK,83,0,0,0.1111
Test03_OK_chg,충전,OK,84,0,0,0.0895
Test03_OK_chg,충전,OK,85,0,0,0.0829
Test03_OK_chg,충전,OK,86,0,0,0.09
Test03_OK_chg,충전,OK,87,0,0,0.0872
Test03_OK_chg,충전,OK,88,0,0,0.1937
Test03_OK_chg,충전,OK,89,0,0,0.0425
Test03_OK_chg,충전,OK,90,0,0,0.0372
Test03_OK_chg,충전,OK,91,0,0,0.04
Test03_OK_chg,충전,OK,92,0,0,0.0338
Test03_OK_chg,충전,OK,93,0,0,0.0935
Test03_OK_chg,충전,OK,94,0,0,0.1865
Test03_OK_chg,충전,OK,95,0,0,0.1775
Test03_OK_chg,충전,OK,96,0,0,0.0424
Test03_OK_chg,충전,OK,97,0,0,0.0352
Test03_OK_chg,충전,OK,98,0,0,0.0517
Test03_OK_chg,충전,OK,99,0,0,0.0322
Test03_OK_chg,충전,OK,100,0,0,0.029
Test03_OK_chg,충전,OK,101,0,0,0.0273
Test03_OK_chg,충전,OK,102,0,0,0.0586
Test03_OK_chg,충전,OK,103,0,0,0.0575
Test03_OK_chg,충전,OK,104,0,0,0.062
Test03_OK_chg,충전,OK,105,0,0,0.0765
Test03_OK_chg,충전,OK,106,0,0,0.0676
Test03_OK_chg,충전,OK,107,0,0,0.206
Test03_OK_chg,충전,OK,108,0,0,0.0721
Test03_OK_chg,충전,OK,109,0,0,0.0535
Test03_OK_chg,충전,OK,110,0,0,0.0614
Test03_OK_chg,충전,OK,111,0,0,0.1339
Test03_OK_chg,충전,OK,112,0,0,0.0895
Test03_OK_chg,충전,OK,113,0,0,0.0722
Test03_OK_chg,충전,OK,114,0,0,0.0618
Test03_OK_chg,충전,OK,115,0,0,0.1375
Test03_OK_chg,충전,OK,116,0,0,0.0546
Test03_OK_chg,충전,OK,117,0,0,0.0355
Test03_OK_chg,충전,OK,118,0,0,0.1704
Test03_OK_chg,충전,OK,119,0,0,0.0483
Test03_OK_chg,충전,OK,120,0,0,0.1407
Test03_OK_chg,충전,OK,121,0,0,0.115
Test03_OK_chg,충전,OK,122,0,0,0.077
Test03_OK_chg,충전,OK,123,0,0,0.1496
Test03_OK_chg,충전,OK,124,0,0,0.0513
Test03_OK_chg,충전,OK,125,0,0,0.0194
Test03_OK_chg,충전,OK,126,0,0,0.025
Test03_OK_chg,충전,OK,127,0,0,0.2151
Test03_OK_chg,충전,OK,128,0,0,0.1275
Test03_OK_chg,충전,OK,129,0,0,0.0573
Test03_OK_chg,충전,OK,130,0,0,0.055
Test03_OK_chg,충전,OK,131,0,0,0.101
Test03_OK_chg,충전,OK,132,0,0,0.1123
Test03_OK_chg,충전,OK,133,0,0,0.1738
Test03_OK_chg,충전,OK,134,0,0,0.026
Test03_OK_chg,충전,OK,135,0,0,0.0191
Test03_OK_chg,충전,OK,136,0,0,0.0488
Test03_OK_chg,충전,OK,137,0,0,0.0549
Test03_OK_chg,충전,OK,138,0,0,0.1426
Test03_OK_chg,충전,OK,139,0,0,0.1471
Test03_OK_chg,충전,OK,140,0,0,0.0411
Test03_OK_chg,충전,OK,141,0,0,0.0614
Test03_OK_chg,충전,OK,142,0,0,0.0902
Test03_OK_chg,충전,OK,143,0,0,0.0268
Test03_OK_chg,충전,OK,144,0,0,0.0286
Test03_OK_chg,충전,OK,145,0,0,0.0249
Test03_OK_chg,충전,OK,146,0,0,0.054
Test03_OK_chg,충전,OK,147,0,0,0.0459
Test03_OK_chg,충전,OK,148,0,0,0.0481
Test03_OK_chg,충전,OK,149,0,0,0.0935
Test03_OK_chg,충전,OK,150,0,0,0.0956
Test03_OK_chg,충전,OK,151,0,0,0.0421
Test03_OK_chg,충전,OK,152,0,0,0.0291
Test03_OK_chg,충전,OK,153,0,0,0.0488
Test03_OK_chg,충전,OK,154,0,0,0.0334
Test03_OK_chg,충전,OK,155,0,0,0.0284
Test03_OK_chg,충전,OK,156,0,0,0.1093
Test03_OK_chg,충전,OK,157,0,0,0.0413
Test03_OK_chg,충전,OK,158,0,0,0.0513
Test03_OK_chg,충전,OK,159,0,0,0.1457
Test03_OK_chg,충전,OK,160,0,0,0.0613
Test03_OK_chg,충전,OK,161,0,0,0.0755
Test03_OK_chg,충전,OK,162,0,0,0.115
Test03_OK_chg,충전,OK,163,0,0,0.0485
Test03_OK_chg,충전,OK,164,0,0,0.1344
Test03_OK_chg,충전,OK,165,0,0,0.066
Test03_OK_chg,충전,OK,166,0,0,0.0483
Test03_OK_chg,충전,OK,167,0,0,0.0478
Test03_OK_chg,충전,OK,168,0,0,0.0609
Test03_OK_chg,충전,OK,169,0,0,0.0555
Test03_OK_chg,충전,OK,170,0,0,0.1606
Test03_OK_chg,충전,OK,171,0,0,0.0455
Test03_OK_chg,충전,OK,172,0,0,0.0409
Test03_OK_chg,충전,OK,173,0,0,0.1925
Test03_OK_chg,충전,OK,174,0,0,0.0835
Test03_OK_chg,충전,OK,175,0,0,0.0346
Test03_OK_chg,충전,OK,176,0,0,0.0461
Test03_OK_chg,충전,OK,177,0,0,0.2487
Test03_OK_chg,충전,OK,178,0,0,0.1687
Test03_OK_chg,충전,OK,179,0,0,0.0514
Test03_OK_chg,충전,OK,180,0,0,0.0612
Test03_OK_chg,충전,OK,181,0,0,0.0381
Test03_OK_chg,충전,OK,182,0,0,0.063
Test03_OK_chg,충전,OK,183,0,0,0.2669
Test03_OK_chg,충전,OK,184,0,0,0.1647
Test03_OK_chg,충전,OK,185,0,0,0.0639
Test03_OK_chg,충전,OK,186,0,0,0.0597
Test03_OK_chg,충전,OK,187,0,0,0.0488
Test03_OK_chg,충전,OK,188,0,0,0.1585
Test03_OK_chg,충전,OK,189,0,0,0.0751
Test03_OK_chg,충전,OK,190,0,0,0.0236
Test03_OK_chg,충전,OK,191,0,0,0.063
Test03_OK_chg,충전,OK,192,0,0,0.0637
Test03_OK_chg,충전,OK,193,0,0,0.0564
Test03_OK_chg,충전,OK,194,0,0,0.0412
Test03_OK_chg,충전,OK,195,0,0,0.0455
Test03_OK_chg,충전,OK,196,0,0,0.0419
Test03_OK_chg,충전,OK,197,0,0,0.0916
Test03_OK_chg,충전,OK,198,0,0,0.0897
Test03_OK_chg,충전,OK,199,0,0,0.0632
Test03_OK_chg,충전,OK,200,0,0,0.0463
Test03_OK_chg,충전,OK,201,0,0,0.1591
Test03_OK_chg,충전,OK,202,0,0,0.0555
Test03_OK_chg,충전,OK,203,0,0,0.1101
