source_file,group_id,split,rows,positive_rows,group_label
WeldingTest_01_OK,WeldingTest_01_OK::cycle_1,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_2,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_3,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_4,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_5,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_6,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_7,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_8,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_9,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_10,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_11,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_12,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_13,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_14,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_15,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_16,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_17,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_18,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_19,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_20,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_21,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_22,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_23,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_24,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_25,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_26,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_27,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_28,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_29,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_30,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_31,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_32,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_33,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_34,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_35,development_train,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_36,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_37,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_38,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_39,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_40,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_41,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_42,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_43,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_44,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_45,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_46,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_47,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_48,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_49,development_validation,39,0,0
WeldingTest_01_OK,WeldingTest_01_OK::cycle_50,development_validation,39,0,0
WeldingTest_03_NG,WeldingTest_03_NG::cycle_1,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_2,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_3,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_4,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_5,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_6,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_7,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_8,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_9,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_10,development_train,39,0,0
WeldingTest_03_NG,WeldingTest_03_NG::cycle_11,development_train,39,0,0
WeldingTest_03_NG,WeldingTest_03_NG::cycle_12,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_13,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_14,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_15,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_16,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_17,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_18,development_train,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_19,development_validation,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_20,development_validation,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_21,development_validation,39,1,1
WeldingTest_03_NG,WeldingTest_03_NG::cycle_22,development_validation,39,0,0
WeldingTest_03_NG,WeldingTest_03_NG::cycle_23,development_validation,39,0,0
WeldingTest_03_NG,WeldingTest_03_NG::cycle_24,development_validation,39,0,0
WeldingTest_03_NG,WeldingTest_03_NG::cycle_25,development_validation,39,0,0
WeldingTest_03_NG,WeldingTest_03_NG::cycle_26,development_validation,39,0,0
WeldingTest_03_NG,WeldingTest_03_NG::cycle_27,development_validation,39,0,0
